"Código";"Subfunção ";"Valor Empenhado ";"Valor Liquidado ";"Valor Pago "
"122";"ADMINISTRACAO GERAL";"137.848.073,03";"134.884.195,64";"132.416.258,69"
"542";"CONTROLE AMBIENTAL";"32.851.787,14";"30.601.221,91";"26.729.616,64"
"573";"DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO";"887.550,08";"884.700,26";"877.481,81"
"541";"PRESERVACAO E CONSERVACAO AMBIENTAL";"45.817.425,23";"30.831.890,68";"28.130.391,63"
"543";"RECUPERACAO DE AREAS DEGRADADAS";"6.478.414,98";"5.819.842,50";"5.792.899,18"
"544";"RECURSOS HIDRICOS";"57.912.944,88";"44.155.284,15";"60.617.049,52"
"695";"TURISMO";"1.365.506,39";"1.303.407,79";"1.265.926,86"
