"Código";"Subfunção ";"Valor Empenhado ";"Valor Liquidado ";"Valor Pago "
"122";"ADMINISTRACAO GERAL";"225.434.507,20";"218.390.610,58";"211.610.763,02"
"542";"CONTROLE AMBIENTAL";"36.819.589,96";"32.278.755,51";"25.675.238,55"
"573";"DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO";"158.842,44";"158.842,44";"163.694,46"
"541";"PRESERVACAO E CONSERVACAO AMBIENTAL";"72.311.604,08";"61.397.210,44";"37.447.051,60"
"543";"RECUPERACAO DE AREAS DEGRADADAS";"1.210.128,50";"1.210.072,55";"1.209.031,23"
"544";"RECURSOS HIDRICOS";"69.192.612,01";"68.103.757,43";"59.075.176,87"
"512";"SANEAMENTO BASICO URBANO";"1.337.605,93";"1.083.614,46";"1.065.352,69"
