"Código";"Subfunção ";"Valor Empenhado ";"Valor Liquidado ";"Valor Pago "
"122";"ADMINISTRACAO GERAL";"166.584.885,37";"164.600.738,49";"158.226.859,39"
"542";"CONTROLE AMBIENTAL";"27.025.022,89";"25.674.840,77";"24.683.959,37"
"573";"DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO";"402.068,02";"402.068,02";"350.084,28"
"541";"PRESERVACAO E CONSERVACAO AMBIENTAL";"42.836.481,11";"38.573.809,84";"33.563.810,72"
"543";"RECUPERACAO DE AREAS DEGRADADAS";"9.140.904,89";"9.083.404,89";"9.007.646,62"
"544";"RECURSOS HIDRICOS";"56.053.879,40";"52.964.666,54";"53.109.169,23"
