"Função ";"Valor Empenhado ";"Valor Liquidado ";"Valor Pago "
"ADMINISTRACAO";"3.391.583,75";"3.350.078,76";"3.269.622,51"
"GESTAO AMBIENTAL";"82.456.983,58";"78.445.727,34";"72.241.981,76"
